ANIO,MES,PROVINCIA,DISTRITO,TIPO_DELITO,POBLACION,DENSIDAD_POB,LAG_1,LAG_3,PROMEDIO_MOVIL_3M,VAR_INTERANUAL,CANTIDAD_DELITOS,TASA_DELITOS_10K,NIVEL_RIESGO
2024,11,TRUJILLO,HUANCHACO,Extorsión,87035,260.7,6,13,12.33,11,21,2.413,ALTO
2024,11,TRUJILLO,HUANCHACO,Hurto,87035,260.7,16,43,31.0,-37,20,2.298,ALTO
2024,11,TRUJILLO,HUANCHACO,Robo,87035,260.7,20,37,25.0,-11,16,1.838,ALTO
2024,11,TRUJILLO,HUANCHACO,Violencia contra la mujer e integrantes,87035,260.7,41,43,43.33,-21,20,2.298,ALTO
2024,11,PACASMAYO,JEQUETEPEQUE,Hurto,3929,78.7,2,2,2.33,-1,1,2.545,BAJO
2024,11,PACASMAYO,JEQUETEPEQUE,Violencia contra la mujer e integrantes,3929,78.7,4,9,5.0,0,2,5.09,BAJO
2024,11,JULCAN,JULCAN,Violencia contra la mujer e integrantes,10096,48.5,3,5,3.33,1,1,0.99,BAJO
2024,11,TRUJILLO,LA ESPERANZA,Estafa,205683,11034.5,19,10,13.33,-4,15,0.729,MEDIO
2024,11,TRUJILLO,LA ESPERANZA,Extorsión,205683,11034.5,36,55,40.67,30,56,2.723,ALTO
2024,11,TRUJILLO,LA ESPERANZA,Hurto,205683,11034.5,71,82,72.0,-15,71,3.452,ALTO
2024,11,TRUJILLO,LA ESPERANZA,Robo,205683,11034.5,40,80,60.0,-22,41,1.993,ALTO
2024,11,TRUJILLO,LA ESPERANZA,Violencia contra la mujer e integrantes,205683,11034.5,68,76,69.67,-16,65,3.16,ALTO
2024,11,TRUJILLO,LAREDO,Estafa,39890,118.9,2,4,4.33,0,2,0.501,BAJO
2024,11,TRUJILLO,LAREDO,Extorsión,39890,118.9,11,12,9.33,11,16,4.011,ALTO
2024,11,TRUJILLO,LAREDO,Hurto,39890,118.9,20,18,20.0,11,15,3.76,MEDIO
2024,11,TRUJILLO,LAREDO,Robo,39890,118.9,9,15,11.0,-2,8,2.006,MEDIO
2024,11,TRUJILLO,LAREDO,Violencia contra la mujer e integrantes,39890,118.9,19,10,13.67,17,20,5.014,ALTO
2024,11,BOLIVAR,LONGOTEA,Violencia contra la mujer e integrantes,1978,23.9,0,0,0.0,1,1,5.056,BAJO
2024,11,ASCOPE,MAGDALENA DE CAO,Hurto,3347,20.1,1,0,0.33,1,2,5.976,BAJO
2024,11,ASCOPE,MAGDALENA DE CAO,Robo,3347,20.1,3,2,2.0,4,6,17.927,MEDIO
2024,11,ASCOPE,MAGDALENA DE CAO,Violencia contra la mujer e integrantes,3347,20.1,0,2,0.67,-2,1,2.988,BAJO
2024,11,TRUJILLO,MOCHE,Estafa,41548,1645.5,7,4,3.67,4,6,1.444,MEDIO
2024,11,TRUJILLO,MOCHE,Extorsión,41548,1645.5,10,10,9.33,5,10,2.407,MEDIO
2024,11,TRUJILLO,MOCHE,Hurto,41548,1645.5,38,25,30.67,-4,28,6.739,ALTO
2024,11,TRUJILLO,MOCHE,Robo,41548,1645.5,25,20,25.0,-14,12,2.888,MEDIO
2024,11,TRUJILLO,MOCHE,Violencia contra la mujer e integrantes,41548,1645.5,30,29,28.67,8,34,8.183,ALTO
2024,11,OTUZCO,OTUZCO,Estafa,25488,57.4,1,0,0.33,1,1,0.392,BAJO
2024,11,OTUZCO,OTUZCO,Extorsión,25488,57.4,5,1,3.67,7,8,3.139,MEDIO
2024,11,OTUZCO,OTUZCO,Hurto,25488,57.4,5,0,2.67,-2,3,1.177,BAJO
2024,11,OTUZCO,OTUZCO,Violencia contra la mujer e integrantes,25488,57.4,8,10,7.67,3,9,3.531,MEDIO
2024,11,CHEPEN,PACANGA,Extorsión,26240,44.9,6,3,6.0,2,5,1.905,MEDIO
2024,11,CHEPEN,PACANGA,Hurto,26240,44.9,11,9,11.33,-7,5,1.905,MEDIO
2024,11,CHEPEN,PACANGA,Robo,26240,44.9,7,7,8.33,-5,9,3.43,MEDIO
2024,11,CHEPEN,PACANGA,Violencia contra la mujer e integrantes,26240,44.9,19,18,19.33,-3,20,7.622,ALTO
2024,11,PACASMAYO,PACASMAYO,Estafa,30839,1000.0,7,7,5.33,0,3,0.973,BAJO
2024,11,PACASMAYO,PACASMAYO,Extorsión,30839,1000.0,14,12,12.0,-9,9,2.918,MEDIO
2024,11,PACASMAYO,PACASMAYO,Hurto,30839,1000.0,16,18,17.0,-4,10,3.243,MEDIO
2024,11,PACASMAYO,PACASMAYO,Robo,30839,1000.0,5,5,4.67,-2,1,0.324,BAJO
2024,11,PACASMAYO,PACASMAYO,Violencia contra la mujer e integrantes,30839,1000.0,12,23,19.67,-19,14,4.54,MEDIO
